"","Status","FWS.Total","Other.Fed","Fed.Total","States.Total","Species.Total","Year"
"1","E",556000,1105710,1661710,84250,1745960,2004
"2","E",70757,97966,168723,93000,261723,2004
"3","E",1072200,3512832,4585032,335650,4920682,2004
"4","E",271000,307780,578780,16100,594880,2004
"5","E",111882,25000,136882,62000,198882,2004
"6","E",17000,89300,106300,100,106400,2004
"7","E",327500,88270,415770,9800,425570,2004
"8","E",22500,140490,162990,18900,181890,2004
"9","SAT",103000,0,103000,16100,119100,2004
"10","T",653580,5436822,6090402,1150000,7240402,2004
"11","EXPN",36027,0,36027,466700,502727,2004
"12","T",277500,3475126,3752626,59000,3811626,2004
"13","E",66177,22620,88797,42500,131297,2004
"14","E",66145,25961,92106,18000,110106,2004
"15","E",176000,1940000,2116000,0,2116000,2004
"16","E",13000,1046513,1059513,2800,1062313,2004
"17","EXPN",589065,1127561,1716626,302950,2019576,2004
"18","E",220471,2370556,2591027,50000,2641027,2004
"19","E",35454,271165,306619,5000,311619,2004
"20","E",35544,1165,36709,0,36709,2004
"21","E",35454,101165,136619,0,136619,2004
"22","E",35454,271165,306619,0,306619,2004
"23","E",50000,32132,82132,18500,100632,2004
"24","E",39000,5870,44870,1900,46770,2004
"25","E",0,0,0,12000,12000,2004
"26","E",12541,55000,67541,2000,69541,2004
"27","E",31632,95000,126632,20000,146632,2004
"28","E",1650,2500,4150,1000,5150,2004
"29","E",672,52213,52885,2000,54885,2004
"30","E",218069,82000,300069,5000,305069,2004
"31","E",28593,46165,74758,45000,119758,2004
"32","T",772643,1500879,2273522,739460,3012982,2004
"33","E",2431500,1485177,3916677,5945000,9861677,2004
"34","E",164193,77000,241193,1000,242193,2004
"35","E",635500,0,635500,2000,637500,2004
"36","E",15000,1200,16200,0,16200,2004
"37","E",82500,8552,91052,0,91052,2004
"38","E",9200,1000,10200,0,10200,2004
"39","E",143396,131000,274396,18000,292396,2004
"40","E",106500,16300,122800,2000,124800,2004
"41","T",167796,322350,490146,134850,624996,2004
"42","E",49296,115902,165198,90000,255198,2004
"43","T",44900,154850,199750,0,199750,2004
"44","E",70200,8252,78452,0,78452,2004
"45","E",153200,18120,171320,53000,224320,2004
"46","T",133540,580846,714386,20000,734386,2004
"47","E",720300,743420,1463720,1026000,2489720,2004
"48","T",61000,881254,942254,87800,1030054,2004
"49","E",117000,477240,594240,105000,699240,2004
"50","E",0,28386,28386,2000,30386,2004
"51","E",26000,12100,38100,0,38100,2004
"52","E",232859,50536,283395,265000,548395,2004
"53","E",28123,394666,422789,12000,434789,2004
"54","E",13500,300,13800,0,13800,2004
"55","T",0,9608000,9608000,1203100,10811100,2004
"56","E",0,30546221,30546221,1200000,31746221,2004
"57","T",0,0,0,1000,1000,2004
"58","E",0,2321146,2321146,0,2321146,2004
"59","E",101142,323027,424169,10000,434169,2004
"60","E",56236,154110,210346,70000,280346,2004
"61","E",114573,52500,167073,1000,168073,2004
"62","E",700,16930,17630,43000,60630,2004
"63","E",2500,131191,133691,6000,139691,2004
"64","EXPN",0,11000,11000,4900,15900,2004
"65","E",136000,78000,214000,12000,226000,2004
"66","T",92806,83323,176129,50000,226129,2004
"67","E",0,385000,385000,13200,398200,2004
"68","E",13306,3000,16306,1000,17306,2004
"69","E",31000,0,31000,0,31000,2004
"70","E",31000,6000,37000,8000,45000,2004
"71","E",0,64594,64594,2000,66594,2004
"72","E",0,190117,190117,0,190117,2004
"73","E",200,69010,69210,2950,72160,2004
"74","E",0,659332,659332,6950,666282,2004
"75","E",200,11865923,11866123,503500,12369623,2004
"76","E",0,66129,66129,0,66129,2004
"77","E",5500,2262975,2268475,2000,2270475,2004
"78","EXPN",118053,847905,965958,0,965958,2004
"79","EXPN",985000,30872,1015872,15000,1030872,2004
"80","T",436900,938004,1374904,898000,2272904,2004
"81","T",686200,1355763,2041963,238500,2280463,2004
"82","E",24000,16472,40472,75000,115472,2004
"83","E",314500,100,314600,0,314600,2004
"84","EXPN",737000,5250,742250,0,742250,2004
"85","E",55000,7500,62500,50300,112800,2004
"86","E",0,212500,212500,2000,214500,2004
"87","E",3335,25486,28821,0,28821,2004
"88","E",24867,2000,26867,0,26867,2004
"89","E",667,0,667,0,NA,2004
"90","E",3668,17271,20939,29000,49939,2004
"91","E",1502519,7695,1510214,0,1510214,2004
"92","E",162500,79073,241573,97000,338573,2004
"93","E",24000,0,24000,3000,27000,2004
"94","E",2001,0,2001,0,2001,2004
"95","E",500,0,500,0,NA,2004
"96","T",25900,208700,234600,0,234600,2004
"97","E",92644,565453,658097,22500,680597,2004
"98","EXPN",2713,240000,242713,0,242713,2004
"99","E",55543,48843,104386,0,104386,2004
"100","E",521500,41795,563295,1000,564295,2004
"101","E",94000,683641,777641,7600,785241,2004
"102","EXPN",370653,32445,403098,136200,539298,2004
"103","EXPN",400600,32860,433460,0,433460,2004
"104","E",3502,25486,28988,0,28988,2004
"105","E",667,0,667,0,NA,2004
"106","E",834,1393,2227,0,2227,2004
"107","E",82966,13064,96030,73000,169030,2004
"108","E",338027,228162,566189,26000,592189,2004
"109","E",0,985,985,0,NA,2004
"110","E",59466,85885,145351,2600,147951,2004
"111","E",40900,9906,50806,0,50806,2004
"112","T",3055703,5670187,8725890,1111350,9837240,2004
"113","T",784500,365692,1150192,3000,1153192,2004
"114","T",1403500,144452,1547952,3000,1550952,2004
"115","E",17141,196665,213806,8300,222106,2004
"116","E",85000,365039,450039,67600,517639,2004
"117","E",1001,0,1001,0,1001,2004
"118","E",1001,0,1001,0,1001,2004
"119","E",1305677,10513447,11819124,92700,11911824,2004
"120","T",1001071,263188,1264259,10000,1274259,2004
"121","E",76617,217592,294209,32000,326209,2004
"122","E",28136,59271,87407,0,87407,2004
"123","E",20000,0,20000,0,20000,2004
"124","E",4000,0,4000,0,4000,2004
"125","E",26200,4950,31150,0,31150,2004
"126","T",595800,737111,1332911,30300,1363211,2004
"127","E",134978,46862,181840,0,181840,2004
"128","E",60500,331751,392251,0,392251,2004
"129","E",2001,0,2001,0,2001,2004
"130","E",1583,110400,111983,40000,151983,2004
"131","E",1001,0,1001,0,1001,2004
"132","T",11202,0,11202,0,11202,2004
"133","E",166622,29385,196007,0,196007,2004
"134","E",4002,55000,59002,7100,66102,2004
"135","T",1780880,2023915,3804795,1841900,5646695,2004
"136","E",35000,0,35000,0,35000,2004
"137","E",25034,2000,27034,0,27034,2004
"138","T",917618,4299377,5216995,60000,5276995,2004
"139","T",3271177,3064943,6336120,644450,6980570,2004
"140","E",24617,3004447,3029064,60000,3089064,2004
