"","Scientific.Name","Taxon","Year","Status","received","Budget","O_U","change"
"1","Bufo californicus ","Amphibian ",1999,-3,2.13,"$386,750 ","Over","Decreased"
"2","Phaeognathus hubrichti ","Amphibian ",1983,-1,4.96,"$28,704 ","Over","Decreased"
"3","Plethodon nettingi ","Amphibian ",1991,1,2.04,"$69,426 ","Over","Increased"
"4","Aphelocoma coerulescens ","Bird ",1990,-11,52.53,"$33,820 ","Over","Decreased"
"5","Brachyramphus marmoratus ","Bird ",1997,-9,2.13,"$2,036,214 ","Over","Decreased"
"6","Puffinus auricularis newelli ","Bird ",1983,-7,2.66,"$202,020 ","Over","Decreased"
"7","Lanius ludovicianus mearnsi ","Bird ",1984,-1,10.49,"$90,048 ","Over","Decreased"
"8","Sterna antillarum browni ","Bird ",1985,-1,3.81,"$360,220 ","Over","Decreased"
"9","Buteo solitarius ","Bird ",1984,0,3.87,"$32,107 ","Over","No Change"
"10","Rallus longirostris yumanensis ","Bird ",2010,1,2.8,"$192,494 ","Over","Increased"
"11","Sterna antillarum ","Bird ",1990,3,12.77,"$204,107 ","Over","Increased"
"12","Mycteria americana ","Bird ",1997,6,11.63,"$529,250 ","Over","Increased"
"13","Meda fulgida ","Fish ",1991,-9,2.12,"$196,650 ","Over","Decreased"
"14","Poeciliopsis occidentalis ","Fish ",1998,-6,2.39,"$160,732 ","Over","Decreased"
"15","Etheostoma fonticola ","Fish ",1996,-5,2.06,"$60,241 ","Over","Decreased"
"16","Etheostoma scotti ","Fish ",2000,-3,6.68,"$52,466 ","Over","Decreased"
"17","Cyprinodon diabolis ","Fish ",1990,-3,2.14,"$68,094 ","Over","Decreased"
"18","Salvelinus confluentus ","Fish ",2009,0,16.37,"$1,199,000 ","Over","No Change"
"19","Etheostoma etowahae ","Fish ",2000,0,7.92,"$52,466 ","Over","No Change"
"20","Cottus paulus ","Fish ",1991,0,3.5,"$51,300 ","Over","No Change"
"21","Xyrauchen texanus ","Fish ",1990,0,2.47,"$2,019,615 ","Over","No Change"
"22","Lepidomeda albivallis ","Fish ",1994,1,2.38,"$16,261 ","Over","Increased"
"23","Erimonax monachus ","Fish ",1983,2,3.64,"$31,980 ","Over","Increased"
"24","Branchinecta lynchi ","Invertebrate ",2013,-6,6.97,"$219,688 ","Over","Decreased"
