"","Year","scientific","Population","FWS","OFed","State","Total","Group","Common","Status"
"1",2008,"Abronia macrocarpa","",0,100,86454,86554,"Flowering Plants","Sand-verbena, large-fruited","E"
"2",2008,"Abutilon eremitopetalum","",3600,0,0,3600,"Flowering Plants","No Common Name","E"
"3",2008,"Abutilon menziesii","",105000,23350,0,128350,"Flowering Plants","Ko`oloa`ula","E"
"4",2008,"Abutilon sandwicense","",13500,4869,0,18369,"Flowering Plants","No Common Name","E"
"5",2008,"Acaena exigua","",3500,0,0,3500,"Flowering Plants","Liliwai","E"
"6",2008,"Acanthomintha ilicifolia","",538320,5000,0,543320,"Flowering Plants","Thornmint, San Diego","T"
"7",2008,"Acanthomintha obovata ssp. duttonii","",1870,115,0,1985,"Flowering Plants","Thornmint, San Mateo","E"
"8",2008,"Achatinella spp.","",20500,161678,0,182178,"Snails","Snails, Oahu tree","E"
"9",2008,"Achyranthes mutica","",5500,0,0,5500,"Flowering Plants","No Common Name","E"
"10",2008,"Achyranthes splendens var. rotundata","",16100,0,0,16100,"Flowering Plants","Chaff-flower, round-leaved","E"
"11",2008,"Acipenser brevirostrum","",345130,372584,28800,746514,"Fishes","Sturgeon, shortnose","E"
"12",2008,"Acipenser medirostris","U.S.A. (CA) Southern Distinct Population Segment",1650,1043936,0,1045586,"Fishes","Sturgeon, North American green","T"
"13",2008,"Acipenser oxyrinchus (=oxyrhynchus) desotoi","",245400,1299481,61495,1606376,"Fishes","Sturgeon, gulf","T"
"14",2008,"Acipenser transmontanus","U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system",241240,8655981,28410,8925631,"Fishes","Sturgeon, white","E"
"15",2008,"Aconitum noveboracense","",13000,383,2000,15383,"Flowering Plants","Monkshood, northern wild","T"
"16",2008,"Acrocephalus familiaris kingi","",45250,0,0,45250,"Birds","Millerbird, Nihoa (old world warbler)","E"
"17",2008,"Acrocephalus luscinia","",175600,8500,0,184100,"Birds","Warbler, nightingale reed (old world warbler)","E"
"18",2008,"Acropora cervicornis","",0,93942,0,93942,"Corals","Coral, staghorn","T"
"19",2008,"Acropora palmata","",0,189076,0,189076,"Corals","Coral, elkhorn","T"
"20",2008,"Adelocosa anops","",15500,0,0,15500,"Arachnids","Spider, Kauai cave wolf or pee pee maka ole","E"
"21",2008,"Adenophorus periens","",4000,960,0,4960,"Ferns and Allies","Fern, pendant kihi","E"
"22",2008,"Aerodramus vanikorensis bartschi","",25100,253100,0,278200,"Birds","Swiftlet, Mariana gray","E"
"23",2008,"Aeschynomene virginica","",16863,3322,1500,21685,"Flowering Plants","Joint-vetch, sensitive","T"
"24",2008,"Agalinis acuta","",0,123,5550,5673,"Flowering Plants","Gerardia, sandplain","E"
"25",2008,"Alasmidonta atropurpurea","",22100,5400,0,27500,"Clams","Elktoe, Cumberland","E"
"26",2008,"Alasmidonta heterodon","",51830,233670,30352,315852,"Clams","Wedgemussel, dwarf","E"
"27",2008,"Alasmidonta raveneliana","",64400,3840,64326,132566,"Clams","Elktoe, Appalachian","E"
"28",2008,"Alectryon macrococcus","",17000,91846,0,108846,"Flowering Plants","Mahoe","E"
"29",2008,"Alligator mississippiensis","",136662,281382,110400,528444,"Reptiles","Alligator, American","SAT"
"30",2008,"Allium munzii","",15460,0,0,15460,"Flowering Plants","Onion, Munzs","E"
"31",2008,"Alopecurus aequalis var. sonomensis","",0,12475,0,12475,"Flowering Plants","Alopecurus, Sonoma","E"
"32",2008,"Alsinidendron lychnoides","",3500,0,0,3500,"Flowering Plants","Kuawawaenohu","E"
"33",2008,"Alsinidendron obovatum","",3500,86977,0,90477,"Flowering Plants","No Common Name","E"
"34",2008,"Alsinidendron viscosum","",7000,0,0,7000,"Flowering Plants","No Common Name","E"
"35",2008,"Amaranthus brownii","",4000,0,0,4000,"Flowering Plants","No Common Name","E"
"36",2008,"Amaranthus pumilus","",61471,290149,5240,356860,"Flowering Plants","Amaranth, seabeach","T"
"37",2008,"Amblema neislerii","",156800,144310,0,301110,"Clams","Three-ridge, fat (mussel)","E"
"38",2008,"Amblyopsis rosae","",75700,7156,40400,123256,"Fishes","Cavefish, Ozark","T"
"39",2008,"Ambrosia cheiranthifolia","",40600,213500,0,254100,"Flowering Plants","Ambrosia, south Texas","E"
"40",2008,"Ambrosia pumila","",423653,1000,0,424653,"Flowering Plants","Ambrosia, San Diego","E"
"41",2008,"Ambrysus amargosus","",12500,0,0,12500,"Insects","Naucorid, Ash Meadows","T"
"42",2008,"Ambystoma californiense","U.S.A., CA, Santa Barbara County",39000,25900,0,64900,"Amphibians","Salamander, California tiger","E"
"43",2008,"Ambystoma californiense","U.S.A., CA, Sonoma County",103022,25000,0,128022,"Amphibians","Salamander, California tiger","E"
"44",2008,"Ambystoma californiense","U.S.A., Central CA DPS",1674108,758108,0,2432216,"Amphibians","Salamander, California tiger","T"
"45",2008,"Ambystoma cingulatum","",411231,200384,7225,618840,"Amphibians","Salamander, frosted flatwoods","T"
"46",2008,"Ambystoma macrodactylum croceum","",1828507,0,0,1828507,"Amphibians","Salamander, Santa Cruz long-toed","E"
"47",2008,"Ambystoma tigrinum stebbinsi","",5000,266500,34400,305900,"Amphibians","Salamander, Sonora tiger","E"
"48",2008,"Ameiva polops","",23600,20000,0,43600,"Reptiles","Lizard, St. Croix ground","E"
"49",2008,"Ammodramus maritimus mirabilis","",513700,581497,0,1095197,"Birds","Sparrow, Cape Sable seaside","E"
"50",2008,"Ammodramus savannarum floridanus","",283200,321217,18203,622620,"Birds","Sparrow, Florida grasshopper","E"
"51",2008,"Amorpha crenulata","",400,0,0,400,"Flowering Plants","Lead-plant, Crenulate","E"
"52",2008,"Amphianthus pusillus","",3000,8360,1500,12860,"Flowering Plants","Amphianthus, little","T"
"53",2008,"Amphispiza belli clementeae","",4042,74782,0,78824,"Birds","Sparrow, San Clemente sage","T"
"54",2008,"Amsinckia grandiflora","",2555,11905,0,14460,"Flowering Plants","Fiddleneck, large-flowered","E"
"55",2008,"Amsonia kearneyana","",500,1000,900,2400,"Flowering Plants","Blue-star, Kearneys","E"
"56",2008,"Anas laysanensis","",94750,161187,0,255937,"Birds","Duck, Laysan","E"
"57",2008,"Anas wyvilliana","",310460,203088,0,513548,"Birds","Duck, Hawaiian (=koloa)","E"
"58",2008,"Anaxyrus baxteri","",83528,4000,6991,94519,"Amphibians","Toad, Wyoming","E"
"59",2008,"Anaxyrus californicus","",595529,1049140,0,1644669,"Amphibians","Toad, arroyo (=arroyo southwestern)","E"
"60",2008,"Anguispira picta","",29500,0,0,29500,"Snails","Snail, painted snake coiled forest","T"
"61",2008,"Anolis roosevelti","",10700,0,0,10700,"Reptiles","Anole, Culebra Island giant","E"
"62",2008,"Antilocapra americana sonoriensis","",265000,1696500,247300,2208800,"Mammals","Pronghorn, Sonoran","E"
"63",2008,"Antrobia culveri","",44500,0,1500,46000,"Snails","Cavesnail, Tumbling Creek","E"
"64",2008,"Antrolana lira","",53400,17262,88,70750,"Crustaceans","Isopod, Madison Cave","T"
"65",2008,"Aphelocoma coerulescens","",575100,1032662,51491,1659253,"Birds","Scrub-jay, Florida","T"
"66",2008,"Apios priceana","",35300,64805,2400,102505,"Flowering Plants","Potato-bean, Prices","T"
"67",2008,"Aplodontia rufa nigra","",56210,27200,0,83410,"Mammals","Mountain beaver, Point Arena","E"
"68",2008,"Apodemia mormo langei","",21940,148000,0,169940,"Insects","Butterfly, Langes metalmark","E"
