Scientific Name ,Taxon ,Year ,Status ,received ,Budget ,O_U
Bufo californicus ,Amphibian ,1999,-3,2.13,"$386,750 ",Over
Phaeognathus hubrichti ,Amphibian ,1983,-1,4.96,"$28,704 ",Over
Plethodon nettingi ,Amphibian ,1991,1,2.04,"$69,426 ",Over
Aphelocoma coerulescens ,Bird ,1990,-11,52.53,"$33,820 ",Over
Brachyramphus marmoratus ,Bird ,1997,-9,2.13,"$2,036,214 ",Over
Puffinus auricularis newelli ,Bird ,1983,-7,2.66,"$202,020 ",Over
Lanius ludovicianus mearnsi ,Bird ,1984,-1,10.49,"$90,048 ",Over
Sterna antillarum browni ,Bird ,1985,-1,3.81,"$360,220 ",Over
Buteo solitarius ,Bird ,1984,0,3.87,"$32,107 ",Over
Rallus longirostris yumanensis ,Bird ,2010,1,2.8,"$192,494 ",Over
Sterna antillarum ,Bird ,1990,3,12.77,"$204,107 ",Over
Mycteria americana ,Bird ,1997,6,11.63,"$529,250 ",Over
Meda fulgida ,Fish ,1991,-9,2.12,"$196,650 ",Over
Poeciliopsis occidentalis ,Fish ,1998,-6,2.39,"$160,732 ",Over
Etheostoma fonticola ,Fish ,1996,-5,2.06,"$60,241 ",Over
Etheostoma scotti ,Fish ,2000,-3,6.68,"$52,466 ",Over
Cyprinodon diabolis ,Fish ,1990,-3,2.14,"$68,094 ",Over
Salvelinus confluentus ,Fish ,2009,0,16.37,"$1,199,000 ",Over
Etheostoma etowahae ,Fish ,2000,0,7.92,"$52,466 ",Over
Cottus paulus ,Fish ,1991,0,3.5,"$51,300 ",Over
Xyrauchen texanus ,Fish ,1990,0,2.47,"$2,019,615 ",Over
Lepidomeda albivallis ,Fish ,1994,1,2.38,"$16,261 ",Over
Erimonax monachus ,Fish ,1983,2,3.64,"$31,980 ",Over
Branchinecta lynchi ,Invertebrate ,2013,-6,6.97,"$219,688 ",Over
Streptocephalus woottoni ,Invertebrate ,1998,-5,9.53,"$39,382 ",Over
Branchinecta sandiegonensis ,Invertebrate ,1998,-3,13.58,"$39,382 ",Over
Desmocerus californicus dimorphus ,Invertebrate ,1984,-1,8.41,"$166,507 ",Over
Leptoxis ampla ,Invertebrate ,2005,-1,2.11,"$24,792 ",Over
Valvata utahensis ,Invertebrate ,1995,1,4.15,"$71,176 ",Over
Helminthoglypta walkeriana ,Invertebrate ,1998,1,3.18,"$46,065 ",Over
Lioplax cyclostomaformis ,Invertebrate ,2005,1,2.15,"$24,792 ",Over
Brachylagus idahoensis ,Mammal ,2012,-5,3.5,"$111,137 ",Over
Peromyscus.polionotus.niveiventris,Mammal,1993,4,4.17,11896,Over
Peromyscus polionotus allophrys ,Mammal ,1987,1,6.02,"$112,750 ",Over
Peromyscus polionotus ammobates ,Mammal ,1987,5,2.87,"$112,750 ",Over
Sciurus niger cinereus ,Mammal ,1993,6,2.16,"$147,905 ",Over
Ursus americanus luteolus ,Mammal ,2009,7,9.9,"$502,490 ",Over
Myotis grisescens ,Mammal ,1982,9,8.15,"$82,743 ",Over
Arctomecon humilis ,Plant ,1985,-10,2.68,"$32,550 ",Over
Zizania texana ,Plant ,1996,-8,2.04,"$60,241 ",Over
Navarretia fossalis ,Plant ,1998,-5,6.65,"$39,382 ",Over
Pogogyne nudiuscula ,Plant ,1998,-5,5.47,"$39,382 ",Over
Pogogyne abramsii ,Plant ,1998,-5,4.3,"$39,382 ",Over
Orcuttia californica ,Plant ,1998,-5,3.92,"$39,382 ",Over
Portulaca sclerocarpa ,Plant ,1996,-4,2.03,"$33,265 ",Over
Ceanothus roderickii ,Plant ,2002,-3,2.06,"$119,009 ",Over
Eryngium aristulatum parishii ,Plant ,1998,-2,7.32,"$39,382 ",Over
Silene hawaiiensis ,Plant ,1996,-1,2.41,"$28,729 ",Over
Zanthoxylum hawaiiense ,Plant ,1996,-1,2.12,"$33,265 ",Over
